Fight Type,Method:,Round:,Time:,Time format:,Referee:,Details,Winner,r_figher,b_figher,r_figher_sig_str,b_figher_sig_str,r_figher_sig_str %,b_figher_sig_str %,r_figher_total_str,b_figher_total_str
Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell28 - 29.Junichiro Kamijo28 - 29.Bryan Miner27 - 29.,Montserrat Conejo,Cheyanne Buys,Montserrat Conejo,31 of 65,15 of 41,47%,36%,49 of 87,136 of 168
Bantamweight Bout,KO/TKO,3,0:27,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,Adrian Yanez,Adrian Yanez,Gustavo Lopez,41 of 103,23 of 51,39%,45%,41 of 103,23 of 51
Heavyweight Bout,KO/TKO,1,0:49,3 Rnd (5-5-5),Herb Dean,Punches to Head On Ground,Tai Tuivasa,Tai Tuivasa,Harry Hunsucker,14 of 18,2 of 6,77%,33%,14 of 18,2 of 6
Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell28 - 29.Sal D'amato28 - 29.Rick Winter28 - 29.,Macy Chiasson,Marion Reneau,Macy Chiasson,30 of 63,51 of 138,47%,36%,59 of 93,92 of 184
Lightweight Bout,KO/TKO,3,4:59,3 Rnd (5-5-5),Chris Tognoni,Punches to Head On Ground,Grant Dawson,Leonardo Santos,Grant Dawson,30 of 67,46 of 84,44%,54%,74 of 115,75 of 132
Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Eric Colon28 - 29.Bryan Miner28 - 29.Adalaide Byrd28 - 29.,Trevin Giles,Trevin Giles,Roman Dolidze,27 of 57,32 of 67,47%,47%,43 of 73,75 of 110
Bantamweight Bout,KO/TKO,1,1:58,3 Rnd (5-5-5),Keith Peterson,Punch to Head At Distance,Montel Jackson,Montel Jackson,Jesse Strader,15 of 26,14 of 25,57%,56%,15 of 26,14 of 25
Flyweight Bout,KO/TKO,2,2:56,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance,Bruno Silva,Bruno Silva,JP Buys,37 of 61,17 of 56,60%,30%,62 of 89,37 of 76
Welterweight Bout,Could Not Continue,2,0:18,5 Rnd (5-5-5-5-5),Herb Dean,Eye Poke by Edwards,draw,Leon Edwards,Belal Muhammad,19 of 39,8 of 26,48%,30%,20 of 40,14 of 32
Light Heavyweight Bout,KO/TKO,1,1:11,3 Rnd (5-5-5),Mark Smith,Punches to Head On Ground,Ryan Spann,Misha Cirkunov,Ryan Spann,5 of 18,16 of 29,27%,55%,5 of 18,16 of 29
Featherweight Bout,KO/TKO,1,0:22,3 Rnd (5-5-5),Mike Beltran,Punch to Head At Distance,Dan Ige,Dan Ige,Gavin Tucker,1 of 4,1 of 1,25%,100%,1 of 4,1 of 1
Bantamweight Bout,KO/TKO,2,3:03,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,Davey Grant,Jonathan Martinez,Davey Grant,29 of 71,48 of 110,40%,43%,29 of 71,49 of 111
Flyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),,Chris Lee28 - 29.Bryan Miner28 - 29.Dave Hagen29 - 28.,Matheus Nicolau,Manel Kape,Matheus Nicolau,61 of 150,55 of 102,40%,53%,73 of 165,76 of 132
Middleweight Bout,Could Not Continue,1,4:37,3 Rnd (5-5-5),Herb Dean,Illegal Knee by Anders,draw,Eryk Anders,Darren Stewart,43 of 63,15 of 42,68%,35%,58 of 79,21 of 51
Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,Mike Bell27 - 30.Sal D'amato27 - 30.Rick Winter27 - 30.,Angela Hill,Angela Hill,Ashley Yoder,77 of 135,34 of 116,57%,29%,97 of 165,53 of 143
Featherweight Bout,KO/TKO,3,4:31,3 Rnd (5-5-5),Mark Smith,Punch to Body In Clinch,Charles Jourdain,Charles Jourdain,Marcelo Rojo,106 of 220,74 of 204,48%,36%,128 of 248,80 of 211
